/wiki/Andalusian_Progress_Party,/wiki/Canarian_Independent_Groups,/wiki/Confederation_of_the_Greens,/wiki/Democratic_Party_of_the_New_Left,/wiki/Galician_Coalition,/wiki/Galician_Nationalist_Bloc,/wiki/Galician_Socialist_Party%E2%80%93Galician_Left,/wiki/PSM%E2%80%93Nationalist_Agreement,/wiki/Progressives_for_the_Balearic_Islands,/wiki/Ruiz-Mateos_Group,/wiki/Unity_for_the_Isles,AP,AP-PDP-PL,AP–PDP,Amaiur logo.svg,Aralar,BNG–Nós,C's,CC,CDC,CDS,CHA,CUP,CiU,Compromís,Cs,DiL,EA,EE,EHB.png,ERC,ERC–CatSí,FAC,GBai,HB,ICV,IU,IU–LV,IU–UPeC,Isotipo Unidos Podemos.svg,Més,NC,NCa,NaBai,PA,PACMA,PAR,PCE,PDP,PDeCAT,PNV,PP,PRC,PRD,PSOE,Podemos,UA,UCD,UPCA,UPN,UPyD,UV,Unnamed: 0,Vox,date,eQuo,error,firm,lead,size,turnout,unio.cat
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,41.0,,,25.0,,,,,,,,32,,1995-12-18,,,Tábula V[p 34],16.0,,,
,,,,,,,,,,,,,,,,,,,,0.5,,,5.0,,,,,,,,,,,,,11.9,,,,,,,,,,,,,,1.3,40.5,,,33.7,,,,,,,,33,,1995-12-14,,,CIS[p 35][p 36],6.8,2478.0,78.8,
,,,,,,,,,,,,,,,,,,,,,,,4.7,,,,,,,,,,,,,13.6,,,,,,,,,,,,,,1.2,41.3,,,30.2,,,,,,,,34,,1995-12-13,,,Sigma Dos/El Mundo[p 33],11.1,1000.0,,
,,,,,,,,,,,,,,,,,,0.63,,,,,4.514,,,,0.41,,,0.71,,,,0.82,,12.825,,,,,,,,,,0.41,,,,1.25,42.4172,,,32.7127,,,,,,,0.30,35,,1995-11-23,,,Imagen & Opinión/ABC[p 37],6.8,1000.0,,
,,,,,,,,,,,,,,,,,,,,0.5,,,5.1,,,,,,,,,,,,,13.3,,,,,,,,,,,,,,1.3,39.4,,,32.1,,,,,,,,36,,1995-11-13,,,CIS[p 38][p 39],7.3,2486.0,75.4,
,,,,,,,,,,,,,,,,,,,,,,,5.1,,,,,,,,,,,,,12.3,,,,,,,,,,,,,,,39.6,,,31.0,,,,,,,,37,,1995-10-06,,,Eco Consulting/Cadena SER[p 40],8.6,1870.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0–42.0,,,30.0,,,,,,,,38,,1995-10-02,,,Demoscopia/El País[p 41][p 42],10.0–12.0,1200.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0–39.0,,,32.0–33.0,,,,,,,,39,,1995-09-30,,,PSOE[p 43],6.0,3000.0,,
,,,,,,,,,,,,,,,,,,,,1.3,,,5.2,,,,,,,,,,,,,12.7,,,,,,,,,,,,,,1.3,40.2,,,31.9,,,,,,,,40,,1995-09-17,,,CIS[p 44][p 45],8.3,2493.0,79.0,
,,,,,,,,,,,,,,,,,,,,,,,4.7,,,,,,,,,,,,,14.1,,,,,,,,,,,,,,1.2,42.0,,,28.3,,,,,,,,41,,1995-09-14,,,Sigma Dos/El Mundo[p 46][p 47],13.7,1000.0,,
,,,,,,,,,,,,,,,,,,,,,,,4.6,,,,,,,,,,,,,13.5,,,,,,,,,,,,,,1.3,41.7,,,29.3,,,,,,,,42,,1995-07-31,,,Sigma Dos/El Mundo[p 47],12.4,,,
,,,,,,,,,,,,,,,,,,,,0.9,,,4.5,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,1.2,41.5,,,31.7,,,,,,,,43,,1995-07-17,,,CIS[p 48][p 49],9.8,2494.0,,
,,,,,,,,,,,,,,,,,,,,0.8,,,4.4,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,1.2,42.2,,,32.3,,,,,,,,44,,1995-06-30,,,CIS[p 50][p 51],9.9,2484.0,,
,,,,,,,,,,,,,,,,,,,,0.1,,,5.0,,,,,,,,,,,,,13.3,,,,,,,,,,,,,,1.3,41.8,,,31.6,,,,,,,,45,,1995-06-19,,,CIS[p 52][p 53],10.2,6510.0,,
,,,,,,,,,,,,,,,,,,,,0.5,,,4.4,,,,,,,,,,,,,12.3,,,,,,,,,,,,,,1.3,42.6,,,32.0,,,,,,,,46,,1995-05-31,,,CIS[p 54][p 55],10.6,2492.0,,
,,,,,0.9,,,,,,,,,,,,,1.0,,0.3,,,4.4,,,,0.6,,,0.9,,,,0.8,,11.7,,,,,,,,1.2,,0.5,,,,1.4,35.3,,,30.8,,,,,,,0.6,47,,1995-05-28,,,1995 local elections,4.5,,69.9,
,,,,,,,,,,,,,,,,,,,,,,,5.118,,,,,,,,,,,,,14.233,,,,,,,,,,,,,,?5,41.8177,,,28.2106,,,,,,,,48,,1995-05-16,,,Sigma Dos/El Mundo[p 56][p 57],13.6,15500.0,,
,,,,,,,,,,,,,,,,,,,,,,,4.7,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,43.0,,,27.0,,,,,,,,49,,1995-05-15,,,Demoscopia/El País[p 58][p 59],16.0,16700.0,,
,,,,,,,,,,,,,,,,,,,,,,,4.8?,,,,,,,,,,,,,14.535,,,,,,,,,,,,,,1.3?,42.3170/184,,,27.899/107,,,,,,,,50,,1995-05-02,,,Sigma Dos/El Mundo[p 60][p 61],14.5,,,
,,,,,,,,,,,,,,,,,,,,0.8,,,4.7,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,1.3,41.6,,,31.7,,,,,,,,51,,1995-04-23,,,CIS[p 62][p 63],9.9,2497.0,,
,,,,,,,,,,,,,,,,,,,,0.6,,,4.6,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,1.4,40.3,,,32.0,,,,,,,,52,,1995-03-26,,,CIS[p 64][p 65],8.3,2496.0,,
,,,,,,,,,,,,,,,,,,,,,,,4.2,,,,,,,,,,,,,15.5,,,,,,,,,,,,,,1.3,38.1,,,30.7,,,,,,,,53,,1995-03-07,,,Demoscopia/El País[p 66],7.4,1200.0,72,
,,,,,0.82,,,,,,,,,,,,,?3,,,,,5.018,,,,?1,,,?1,,,,?3,,14.435,,,,,,,,,,?1,,,,1.35,41.0170,,,28.7110,,,,,,,?1,54,,1995-03-02,,,Sigma Dos/El Mundo[p 67][p 68],12.3,16150.0,,
,,,,,,,,,,,,,,,,,,,,0.8,,,5.0,,,,,,,,,,,,,12.8,,,,,,,,,,,,,,1.2,39.9,,,33.1,,,,,,,,55,,1995-02-09,,,CIS[p 69][p 70],6.8,2496.0,,
,,,,,,,,,,,,,,,,,,,,0.9,,,5.5,,,,,,,,,,,,,12.4,,,,,,,,,,,,,,1.3,39.6,,,33.3,,,,,,,,56,,1995-01-30,,,CIS[p 71][p 72],6.3,3991.0,,
,,,,,,,,,,,,,,,,,,,,,,,5.5,,,,,,,,,,,,,13.3,,,,,,,,,,,,,,1.4,39.6,,,30.9,,,,,,,,57,,1995-01-27,,,Gallup/ABC[p 73],8.7,2008.0,73,
,,,,,,,,,,,,,,,,,,,,0.9,,,4.9,,,,,,,,,,,,,13.6,,,,,,,,,,,,,,1.3,39.4,,,33.0,,,,,,,,58,,1995-01-17,,,CIS[p 74][p 75],6.4,2496.0,,
,,,,,,,,,,,,,,,,,,,,,,,4.5–4.914/17,,,,,,,,,,,,,16.0–18.030/34,,,,,,,,,,,,,,,40.0–42.0162/170,,,27.0–29.0110/119,,,,,,,,59,,1995-01-02,,,Gruppo/ABC[p 76],13.0,1000.0,,
,,,,,,,,,,,,,,,,,,,,1.0,,,5.3,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,1.3,37.1,,,34.8,,,,,,,,60,,1994-12-19,,,CIS[p 77][p 78],2.3,2488.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.7,,,,,,,,,,,,,,,38.2,,,30.7,,,,,,,,61,,1994-12-13,,,Demoscopia/El País[p 79][p 80],7.5,1200.0,72,
,,,,,,,,,,,,,,,,,,,,0.9,,,4.8,,,,,,,,,,,,,12.4,,,,,,,,,,,,,,1.2,37.8,,,35.5,,,,,,,,62,,1994-12-13,,,CIS[p 81][p 82],2.3,2491.0,,
,,,,,,,,,,,,,,,,,,,,,,,4.8,,,,,,,,,,,,,16.3,,,,,,,,,,,,,,1.2,40.8,,,28.5,,,,,,,,63,,1994-12-11,,,Sigma Dos/El Mundo[p 83],12.3,2000.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,,,,,,,,,,,,,,,40.0,,,24.0,,,,,,,,64,,1994-12-02,,,Tábula V/ABC[p 84],16.0,4542.0,,
,,,,,,,,,,,,,,,,,,,,0.8,,,5.0,,,,,,,,,,,,,12.9,,,,,,,,,,,,,,1.3,37.2,,,35.1,,,,,,,,65,,1994-11-16,,,CIS[p 85][p 86],2.1,2493.0,,
,,,,,,,,,,,,,,,,,,,,,,,4.9,,,,,,,,,,,,,15.2,,,,,,,,,,,,,,1.2,41.3,,,28.2,,,,,,,,66,,1994-11-16,,,OTR–IS/El Periódico[p 87][p 88],13.1,,,
,,,,,,,,,,,,,,,,,,,,1.1,,,5.0,,,,,,,,,,,,,12.1,,,,,,,,,,,,,,1.5,37.4,,,35.3,,,,,,,,67,,1994-10-24,,,CIS[p 89][p 90],2.1,2494.0,,
,,,,,,,,,,,,,,,,,,,,,,,4.0–5.0,,,,,,,,,,,,,14.0–15.0,,,,,,,,,,,,,,,40.0–41.0,,,31.0–32.0,,,,,,,,68,,1994-10-06,,,Gruppo/ABC[p 91],9.0,1000.0,,
,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,1.5,37.0,,,35.0,,,,,,,,69,,1994-10-01,,,Opina/La Vanguardia[p 92],2.0,2000.0,,
,,,,,,,,,,,,,,,,,,,,,,,4.9,,,,,,,,,,,,,14.7,,,,,,,,,,,,,,1.4,39.6,,,29.8,,,,,,,,70,,1994-09-30,,,OTR–IS/El Periódico[p 93][p 87],9.8,1204.0,,
,,,,,,,,,,,,,,,,,,,,,,,4.9,,,,,,,,,,,,,14.3,,,,,,,,,,,,,,1.5,41.2,,,29.6,,,,,,,,71,,1994-09-05,,,Sigma Dos/El Mundo[p 94],11.6,,,
,,,,,,,,,,,,,,,,,,,,,,,5.1,,,,,,,,,,,,,14.7,,,,,,,,,,,,,,1.2,41.6,,,28.4,,,,,,,,72,,1994-07-13,,,OTR–IS/El Periódico[p 95][p 96],13.2,1200.0,,
,,,,,,,,,,,,,,,,,,,,0.6,,,4.5,,,,,,,,,,,,,11.7,,,,,,,,,,,,,,1.3,40.2,,,31.1,,,,,,,,73,,1994-07-05,,,CIS[p 97][p 98],9.1,2492.0,78.8,
,,,,,0.72,,,,,,,,,,,,,0.63,,1.0,,,4.319,,,,0.51,,,0.81,,,,0.93,,13.430,,,,,,,,0.70,,0.20,,,,1.35,40.1169,,,30.8116,,,,,,,0.61,74,,1994-06-12,,,1994 EP election,9.3,,59.1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.7,,,,,,,,,,,,,,,40.2,,,30.6,,,,,,,,75,,1994-06-04,,,Sigma Dos–Vox Pública/Antena 3[p 99],9.6,,,
,,,,,,,,,,,,,,,,,,,,1.3,,,4.1,,,,,,,,,,,,,15.2,,,,,,,,,,,,,,,40.7,,,30.5,,,,,,,,76,,1994-06-02,,,Vox Pública/El Periódico[p 100],10.2,1303.0,61.8,
,,,,,,,,,,,,,,,,,,,,1.0,,,5.0,,,,,,,,,,,0.5,,14.0,,,,,,,,,,,,,,1.5,39.0,,,34.0,,,,,,,,77,,1994-06-01,,,Opina/La Vanguardia[p 101],5.0,2000.0,,
,,,,,,,,,,,,,,,,,,,,1.0,,,5.0,,,,,,,,,,,0.5,,12.0,,,,,,,,,,,,,,1.5,38.0,,,36.0,,,,,,,,78,,1994-04-11,,,Opina/La Vanguardia[p 102],2.0,2000.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.6,,,,,,,,,,,,,,,37.8,,,34.5,,,,,,,,79,,1994-04-03,,,OTR–IS/El Periódico[p 87],3.3,,,
,,,,,,,,,,,,,,,,,,,,,,,4.5,,,,,,,,,,,,,11.2,,,,,,,,,,,,,,,37.7,,,34.4,,,,,,,,80,,1994-03-24,,,Sigma Dos/El Mundo[p 103],3.3,1000.0,,
,,,,,,,,,,,,,,,,,,,,,,,5.3,,,,,,,,,,,,,10.8,,,,,,,,,,,,,,1.8,39.1,,,32.4,,,,,,,,81,,1994-02-28,,,Gallup/ABC[p 104],6.7,4010.0,68.7,
,,,,,,,,,,,,,,,,,,,,,,,5.7,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,1.5,36.2,,,31.0,,,,,,,,82,,1994-01-19,,,Iope–Etmar/Tele 5[p 105],5.2,,,
,,,,,,,,,,,,,,,,,,,,0.6,,,4.8,,,,,,,,,,,0.9,,11.6,,,,,,,,,,,,,,1.3,36.5,,,36.0,,,,,,,,83,,1994-01-02,,,Sigma Dos/El Mundo[p 106],0.5,,,
,,,,,,,,,,,,,,,,,,,,,,,5.1,,,,,,,,,,,,,10.4,,,,,,,,,,,,,,1.6,38.6,,,33.8,,,,,,,,84,,1993-12-29,,,Gallup/ABC[p 107],4.8,1008.0,70.0,
,,,,,0.50,,,,,,,,,,,,,0.94,,1.8,,,4.917,,,,0.51,,,0.81,,,,0.92,,9.618,,,,,,,,0.40,,0.61,,,,1.25,34.8141,,,38.8159,,,,,,,0.51,85,,1993-06-06,,,1993 general election,4.0,,76.4,
,,,,,,,,,,,,,26.4,,,,,,,2.9,,,3.7,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,1.9,,,,48.1,,,6.8,,,,,0,,1982-10-28,,,General Election,21.7,,,
,,,,,,,,,,,,,24.9,,,,,,,2.6,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,3.8,,,2.1,,,,45.7,,,7.2,,,,,1,,1982-10-28,,,UCD,20.8,,,
,,,,,,,,,,,,,26.0,,,,,,,3.1,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,4.3,,,2.0,,,,48.0,,,6.6,,,,,2,,1982-10-28,,±0.3 pp,PSOE,22.0,85300.0,,
,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0,,,17.0,,,,,3,,1982-10-19,,,ISIS,28.0,36792.0,,
,,,,,,,,,,,,,24.0,,,,,,,4.0,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,5.9,,,1.7,,,,48.6,,,6.5,,,,,4,,1982-10-19,,±0.7 pp,Sofemasa,24.6,18255.0,,
,,,,,,,,,,,,,18.2,,,,,,,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8,,,,,,,49.2,,,9.5,,,,,5,,1982-10-14,,,Alef,31.0,7000.0,,
,,,,,,,,,,,,,19.3,,,,,,,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,,,,,,,51.0,,,5.0,,,,,6,,1982-10-10,,,Sofemasa,31.7,1163.0,,
,,,,,,,,,,,,,16.3,,,,,,,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8,,,,,,,45.9,,,10.6,,,,,7,,1982-09-30,,±3 pp,Alef,29.6,3008.0,,
,,,,,,,,,,,,,14.8,,,,,,,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2,,,,,,,51.5,,,4.8,,,,,8,,1982-09-30,,,Sofemasa,36.7,2460.0,,
,,,,,,,,,,,,,13.0,,,,,,,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,51.3,,,10.7,,,,,9,,1982-09-19,,,Alef,38.3,3000.0,,
,,,,,,,,,,,,,18.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4,,,,,,,48.3,,,13.6,,,,,10,,1982-09-09,,,El País,29.8,,,
,,,,,,,,,,,,,11.8,,,,,,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6,,,,,,,50.8,,,8.5,,,,,11,,1982-08-30,,,Sofemasa,39.0,2460.0,,
,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,37.0,,,11.0,,,,,12,,1982-01-21,,,AP,13.0,,,
,,,,,,,,,,,,,w.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,,,,,,,31.4,,,32.6,,,,,13,,1981-12-12,,,Tiempo,1.2,,,
,,,,,,,,,,,,,11.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.1,,,,,,,33.1,,,21.0,,,,,14,,1981-12-12,,,Tiempo,12.1,,,
,,,,,,,,,,,,,8.9,,,,,,,,,,2.7,,,,,,,,,,,,,,,,,,,,,,,,7.9,,,,,,,42.0,,,23.6,,,,,15,,1981-04-23,,,Gallup,18.4,,,
,,,,,,,,,,,,,9.1,,,,,,,,,,2.7,,,,,,,,,,,,,,,,,,,,,,,,9.1,,,2.2,,,,36.3,,,25.9,,,,,16,,1981-02-23,,±1.8 pp,Gallup,10.4,1892.0,,
,,,,,,,,,,,,,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,35.5,,,26.2,,,,,17,,1981-01-30,,,Gallup,9.3,,,
,,,,,,,,,,,,,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.6,,,,,,,34.4,,,27.4,,,,,18,,1980-12-21,,,Gallup,7.0,,,
,,,,,,,,,,,,,8.0,,,,,,,,,,2.7,,,,,,,,,,,,,,,,,,,,,,,,8.7,,,2.4,,,,33.9,,,28.3,,,,,19,,1980-11-16,,±2.3 pp,Gallup,5.6,1892.0,,
,,,,,,,,,,,,,8.3,,,,,,,,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,8.9,,,2.0,,,,39.9,,,30.8,,,,,20,,1980-11-13,,±1.7 pp,INE,9.1,3457.0,,
,,,,,,,,,,,,,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.6,,,,,,,34.7,,,28.7,,,,,21,,1980-10-19,,,Gallup,6.0,,,
,,,,,,,,,,,,,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.4,,,,,,,33.5,,,27.7,,,,,22,,1980-09-15,,,Gallup,5.8,,,
,,,,,,,,,,,,,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4,,,,,,,33.8,,,25.8,,,,,23,,1980-07-06,,±2.3 pp,Gallup,8.0,1888.0,,
,,,,,,,,,,,,,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,32.7,,,26.3,,,,,24,,1980-06-16,,±3.1 pp,Gallup,6.4,1002.0,,
,,,,,,,,,,,,,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5,,,,,,,29.3,,,29.6,,,,,25,,1980-04-18,,,Gallup,0.8,,,
,,,,,,,,,,,,,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.8,,,,,,,29.8,,,30.2,,,,,26,,1980-03-21,,,Gallup,0.4,,,
,,,,,,,,,,,,,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4,,,,,,,31.9,,,30.8,,,,,27,,1980-02-11,,,Gallup,1.1,,,
,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.1,,,,,,,31.2,,,32.0,,,,,28,,1980-01-14,,,Gallup,0.8,,,
,,,,,,,,,,,,,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.7,,,,,,,34.3,,,31.7,,,,,29,,1979-10-10,,,Gallup,2.6,,,
,,,,,,,,,,,,,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5,,,,,,,30.8,,,34.0,,,,,30,,1979-07-13,,,Gallup,3.2,,,
,,,,,,,,,,,,,5.9,,,,,,,,,,2.7,,,,,,,,,,,,,,,,,,,,,,,,10.8,,,1.7,,,,30.4,,,34.8,,,,,31,,1979-03-01,,,General Election,4.4,,,
,,,,,,,,,,,,26.0,,,,,,,,9.2,,,5.0,,,,,,,,,,,,,4.6,,,,,,,,,,,,,,1.5,,,1.0,44.1,,,,,,,,0,,1986-06-22,,,General Election,18.1,,,
,,,,,,,,,,,,19.5,,,,,,,,12.5,,,,,,,,,,,,,,,,7.5,,,,,,,,,,,,,,1.5,,,10.0,46.0,,,,,,,,1,,1986-06-16,,,OTR,26.5,,,
,,,,,,,,,,,,22.6,,,,,,,,11.1,,,,,,,,,,,,,,,,4.7,,,,,,,,,,,,,,1.7,,,5.8,48.0,,,,,,,,2,,1986-06-15,,,Emopública,25.4,6080.0,,
,,,,,,,,,,,,25.5,,,,,,,,9.9,,,,,,,,,,,,,,,,5.7,,,,,,,,,,,,,,,,,4.0,40.2,,,,,,,,3,,1986-06-15,,,Eco Consulting,14.7,,,
,,,,,,,,,,,,22.2,,,,,,,,5.4,,,5.2,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,2.5,,,9.7,39.1,,,,,,,,4,,1986-06-14,,±1 pp,Telemarket,16.9,10105.0,,
,,,,,,,,,,,,28.7,,,,,,,,9.0,,,4.5,,,,,,,,,,,,,7.4,,,,,,,,,,,,,,1.8,,,3.2,39.9,,,,,,,,5,,1986-06-13,,±2 pp,Aresco,11.2,2505.0,,
,,,,,,,,,,,,19.3,,,,,,,,2.9,,,5.3,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,2.3,,,12.4,39.4,,,,,,,,6,,1986-06-11,,,Perfiles,20.1,,,
,,,,,,,,,,,,23.0,,,,,,,,10.8,,,4.0,,,,,,,,,,,,,5.5,,,,,,,,,,,,,,1.1,,,2.2,45.5,,,,,,,,7,,1986-06-11,,,Emopública,22.5,6081.0,,
,,,,,,,,,,,,23.6,,,,,,,,11.1,,,,,,,,,,,,,,,,5.3,,,,,,,,,,,,,,1.7,,,5.8,48.0,,,,,,,,8,,1986-06-11,,,Emopública,24.4,6081.0,,
,,,,,,,,,,,,26.3,,,,,,,,9.6,,,4.8,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,1.8,,,3.7,40.2,,,,,,,,9,,1986-06-10,,±3.1 pp,Eco Consulting,13.9,1326.0,,
,,,,,,,,,,,,24.0,,,,,,,,9.0,,,6.0,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,2.0,,,4.0,40.0,,,,,,,,10,,1986-06-09,,,Gallup,16.0,6046.0,,
,,,,,,,,,,,,24.0,,,,,,,,11.0,,,6.0,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,3.0,,,3.0,41.0,,,,,,,,11,,1986-06-08,,±1.4 pp,Demoscopia,17.0,5200.0,,
,,,,,,,,,,,,24.1,,,,,,,,11.7,,,4.7,,,,,,,,,,,,,4.9,,,,,,,,,,,,,,1.7,,,2.8,42.4,,,,,,,,12,,1986-06-07,,±1.4 pp,IOPE-ETMAR,18.3,7029.0,,
,,,,,,,,,,,,22.2,,,,,,,,8.3,,,6.1,,,,,,,,,,,,,6.3,,,,,,,,,,,,,,2.2,,,6.4,43.0,,,,,,,,13,,1986-06-07,,±1.2 pp,Line-Staff,20.8,8871.0,,
,,,,,,,,,,,,26.5,,,,,,,,8.4,,,5.4,,,,,,,,,,,,,5.9,,,,,,,,,,,,,,1.8,,,3.6,40.3,,,,,,,,14,,1986-06-03,,±3.1 pp,Eco Consulting,13.8,1311.0,,
,,,,,,,,,,,,19.7,,,,,,,,2.5,,,4.9,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,2.2,,,12.9,40.3,,,,,,,,15,,1986-06-03,,±1.5 pp,Perfiles,20.6,4480.0,,
,,,,,,,,,,,,26.5,,,,,,,,8.7,,,4.9,,,,,,,,,,,,,6.6,,,,,,,,,,,,,,1.9,,,4.7,38.5,,,,,,,,16,,1986-06-02,,±3 pp,Sigma Dos,12.0,1111.0,,
,,,,,,,,,,,,23.1,,,,,,,,2.8,,,4.4,,,,,,,,,,,,,5.3,,,,,,,,,,,,,,2.0,,,12.8,40.2,,,,,,,,17,,1986-05-27,,±1.5 pp,Perfiles,17.1,4265.0,,
,,,,,,,,,,,,25.0,,,,,,,,8.0,,,6.0,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,3.0,,,1.0,46.0,,,,,,,,18,,1986-05-27,,±1.4 pp,Demoscopia,21.0,5200.0,,
,,,,,,,,,,,,29.1,,,,,,,,5.3,,,5.2,,,,,,,,,,,,,6.7,,,,,,,,,,,,,,1.9,,,3.4,42.0,,,,,,,,19,,1986-05-20,,±3.1 pp,Eco Consulting,12.9,1311.0,,
,,,,,,,,,,,,23.4,,,,,,,,3.5,,,3.9,,,,,,,,,,,,,4.1,,,,,,,,,,,,,,1.9,,,11.4,42.0,,,,,,,,20,,1986-05-20,,±1.5 pp,Perfiles,18.6,4330.0,,
,,,,,,,,,,,,25.8,,,,,,,,7.2,,,4.5,,,,,,,,,,,,,8.4,,,,,,,,,,,,,,1.9,,,4.9,38.4,,,,,,,,21,,1986-05-14,,±3 pp,Sigma Dos,12.6,1111.0,,
,,,,,,,,,,,,28.6,,,,,,,,5.8,,,,,,,,,,,,,,,,3.9,,,,,,,,,,,,,,2.1,,,9.7,43.5,,,,,,,,22,,1986-05-10,,±1.4 pp,Typol,14.9,5000.0,,
,,,,,,,,,,,,27.7,,,,,,,,6.5,,,3.0,,,,,,,,,,,,,7.4,,,,,,,,,,,,,,0.8,,,6.0,44.0,,,,,,,,23,,1986-04-25,,,Emopública,16.3,1200.0,,
,,,,,,,,,,,,19.8,,,,,,,,4.0,,,3.8,,,,,,,,,,,,,7.4,,,,,,,,,,,,,,2.3,,,1.5,50.5,,,,,,,,24,,1985-12-01,,±2.3 pp,Sofemasa,30.7,1849.0,,
,,,,,,,,,,,,32.5,,,,,,,,6.5,,,3.0,,,,,,,,,,,,,4.5,,,,,,,,,,,,,,2.0,,,1.5,40.0,,,,,,,,25,,1985-11-15,,,AP,7.5,6500.0,,
,,,,,,,,,,,,24.6,,,,,,,,9.2,,,3.9,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,1.8,,,2.7,44.9,,,,,,,,26,,1985-07-23,,±2.5 pp,IOPE-ETMAR,20.3,1600.0,,
,,,,,,,,,,,,28.5,,,,,,,,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,46.0,,,,,,,,27,,1985-06-23,,,Sofemasa,17.5,23000.0,,
,,,,,,,,,,,,29.8,,,,,,,,5.9,,,3.3,,,,,,,,,,,,,6.6,,,,,,,,,,,,,,2.2,,,1.0,43.4,,,,,,,,28,,1985-06-11,,±3 pp,Sigma Dos,13.6,1111.0,,
,,,,,,,,,,,,28.7,,,,,,,,5.8,,,3.2,,,,,,,,,,,,,6.8,,,,,,,,,,,,,,2.0,,,1.5,41.7,,,,,,,,29,,1985-05-14,,±3 pp,Sigma Dos,13.0,1111.0,,
,,,,,,,,,,,,23.4,,,,,,,,8.0,,,3.7,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,2.0,,,7.3,43.5,,,,,,,,30,,1985-04-29,,±3.2 pp,Gallup,20.1,1033.0,,
,,,,,,,,,,,,25.2,,,,,,,,7.5,,,4.6,,,,,,,,,,,,,4.1,,,,,,,,,,,,,,1.8,,,1.8,47.4,,,,,,,,31,,1985-04-23,,±2.4 pp,IOPE-ETMAR,22.2,1800.0,,
